temperature,humidity,activity,heart_rate,disease
38.17,78.05,9,91,healthy
38.48,68.52,8,81,healthy
38.14,59.12,9,114,sick
39.45,76.99,0,116,sick
38.71,67.19,2,72,healthy
40.03,78.04,1,106,sick
38.66,70.26,7,121,sick
38.2,76.38,6,113,sick
37.64,68.94,1,88,sick
37.44,61.57,5,81,healthy
37.59,83.32,2,124,sick
38.89,66.64,7,88,healthy
39.06,69.2,9,107,healthy
37.59,53.82,2,64,healthy
39.33,70.03,9,94,healthy
38.36,67.86,8,105,healthy
38.8,52.39,0,94,sick
39.83,47.38,4,104,healthy
39.33,69.17,2,72,healthy
38.51,75.55,5,69,healthy
38.08,65.94,9,125,sick
37.19,54.07,1,129,sick
38.2,71.66,8,84,healthy
38.55,48.2,5,103,healthy
38.01,62.67,6,119,sick
38.61,51.53,4,106,healthy
38.75,52.38,8,99,healthy
38.54,53.09,0,66,sick
38.24,60.47,4,105,healthy
38.82,47.05,9,82,healthy
39.01,60.91,5,105,healthy
37.94,65.47,6,72,healthy
39.69,64.33,3,80,healthy
38.63,60.31,0,60,sick
38.71,78.57,7,78,healthy
39.2,50.81,9,119,sick
38.86,65.23,3,92,healthy
39.37,47.48,2,63,healthy
38.9,47.85,6,62,healthy
38.27,67.95,1,111,sick
38.95,67.64,7,87,healthy
37.9,80.12,5,129,sick
38.78,67.31,6,129,sick
38.68,83.39,4,114,sick
38.55,46.95,8,116,sick
38.61,48.92,4,75,healthy
37.38,46.76,4,83,healthy
38.32,52.41,2,128,sick
38.76,66.65,0,100,sick
38.81,70.82,1,106,sick
37.98,46.82,7,128,sick
39.59,82.84,0,90,sick
38.09,78.69,6,89,healthy
39.38,56.86,4,77,healthy
39.0,48.09,2,103,healthy
38.25,51.8,6,86,healthy
39.94,50.08,8,85,healthy
37.86,49.93,1,119,sick
39.34,65.74,7,77,healthy
39.4,54.83,8,115,sick
38.23,59.33,2,90,healthy
39.67,84.58,1,118,sick
38.52,72.37,6,61,healthy
38.9,82.96,4,98,healthy
38.88,50.7,4,120,sick
38.61,60.29,9,122,sick
39.27,67.19,4,77,healthy
39.26,48.07,3,76,healthy
37.48,45.17,4,98,healthy
39.61,71.82,3,113,sick
37.54,70.67,5,94,healthy
39.42,61.43,3,70,healthy
39.49,64.59,1,120,sick
37.94,61.62,8,103,healthy
38.41,45.96,1,127,sick
37.93,58.41,8,84,healthy
38.55,52.08,9,107,healthy
38.48,48.94,5,91,healthy
39.25,83.27,8,63,healthy
39.62,68.97,8,97,healthy
39.68,74.15,2,122,sick
38.31,57.61,0,106,sick
38.55,60.73,0,60,sick
37.52,54.48,2,62,healthy
38.14,48.88,4,121,sick
39.38,52.16,2,123,sick
39.83,76.9,8,76,healthy
37.84,72.1,8,121,sick
38.29,66.88,2,94,healthy
38.68,64.0,2,72,healthy
38.9,81.9,4,94,healthy
38.13,47.91,1,102,sick
39.0,56.22,5,61,healthy
38.37,59.0,6,115,sick
38.69,76.3,8,110,healthy
39.08,84.7,5,113,sick
38.7,54.63,2,75,healthy
38.39,79.97,4,77,healthy
38.62,78.22,3,66,healthy
38.64,53.99,4,104,healthy
38.44,60.97,7,95,healthy
38.52,61.39,7,100,healthy
39.82,84.13,5,101,healthy
39.09,52.24,0,66,sick
38.49,76.97,7,74,healthy
39.19,58.37,7,119,sick
38.47,74.23,1,99,sick
39.52,61.8,3,96,healthy
38.96,68.13,1,125,sick
38.62,78.3,3,114,sick
39.01,77.17,9,115,sick
37.6,79.66,6,103,healthy
37.91,47.38,8,116,sick
37.86,72.68,7,65,healthy
38.8,50.6,8,91,healthy
39.91,61.63,7,77,healthy
40.26,66.94,1,127,sick
39.15,61.11,6,66,healthy
39.05,65.78,1,67,sick
37.44,84.86,1,123,sick
38.32,50.41,3,66,healthy
38.15,72.02,0,100,sick
38.27,60.84,4,99,healthy
38.58,50.32,5,62,healthy
38.37,51.35,8,76,healthy
37.31,82.97,9,125,sick
39.22,80.18,7,111,sick
37.95,81.28,1,81,sick
38.87,84.66,0,63,sick
40.15,53.33,1,65,sick
38.06,59.22,6,97,healthy
36.93,71.77,3,85,healthy
38.5,64.35,9,70,healthy
39.47,61.74,4,76,healthy
40.07,59.31,6,90,sick
37.84,68.75,2,94,healthy
39.05,68.02,9,75,healthy
38.37,51.46,1,77,sick
38.63,63.87,6,121,sick
40.55,67.14,4,86,sick
37.65,67.81,0,94,sick
38.88,53.4,0,104,sick
39.03,74.69,8,94,healthy
39.46,46.01,4,87,healthy
38.77,59.19,0,68,sick
38.92,76.21,6,74,healthy
38.43,67.56,8,80,healthy
38.89,55.45,0,111,sick
38.46,72.8,9,94,healthy
39.14,67.7,3,110,healthy
38.44,76.85,2,114,sick
38.96,74.4,4,103,healthy
38.68,69.4,6,124,sick
39.49,64.53,7,84,healthy
38.66,50.33,1,106,sick
37.46,55.45,6,115,sick
39.58,61.76,0,97,sick
38.07,68.97,6,70,healthy
38.24,65.55,7,126,sick
38.28,56.53,1,74,sick
39.66,45.26,8,60,healthy
37.21,64.85,0,66,sick
40.9,56.43,5,60,sick
39.44,74.38,0,108,sick
38.86,45.96,2,88,healthy
38.66,68.39,5,85,healthy
38.9,82.66,2,104,healthy
39.06,51.98,7,71,healthy
39.15,63.87,4,91,healthy
39.09,48.66,1,79,sick
38.76,70.03,3,110,healthy
38.56,67.02,8,95,healthy
38.59,61.29,3,126,sick
38.56,65.86,9,60,healthy
39.49,80.86,9,86,healthy
39.12,52.85,7,99,healthy
36.64,45.9,4,73,healthy
39.16,79.47,9,128,sick
38.84,68.08,0,65,sick
38.69,80.63,6,92,healthy
38.43,68.88,2,114,sick
39.49,77.41,9,78,healthy
39.36,62.19,7,88,healthy
38.16,74.99,2,120,sick
38.98,81.52,0,129,sick
38.02,67.88,4,83,healthy
37.73,52.23,1,82,sick
38.26,55.75,3,69,healthy
39.3,52.95,0,113,sick
39.37,54.87,8,100,healthy
39.06,57.26,5,108,healthy
39.21,67.21,7,76,healthy
39.06,68.52,3,115,sick
38.25,62.06,8,104,healthy
39.0,69.62,1,89,sick
39.26,48.26,8,103,healthy
39.23,48.51,4,114,sick
39.53,51.87,5,78,healthy
39.2,65.72,2,88,healthy
38.95,53.56,3,61,healthy
39.45,56.33,5,95,healthy
38.68,61.01,6,78,healthy
38.08,77.47,0,66,sick
38.59,45.55,6,85,healthy
38.18,70.98,0,97,sick
